datetime,date,et_lev,et_fill,raw,et,chk_note,chk_fail
03/01/1994 08:46:00,03/01/1994,0.0,0.0,0.00,0.00,"good",""
04/01/1994 08:10:00,04/01/1994,3.0,0.0,3.00,3.00,"good",""
05/01/1994 09:04:00,05/01/1994,2.0,0.0,2.00,2.00,"good",""
06/01/1994 09:09:00,06/01/1994,1.0,0.0,1.00,1.00,"good",""
07/01/1994 08:31:00,07/01/1994,3.0,0.0,3.00,3.00,"good",""
08/01/1994 08:55:00,08/01/1994,0.0,0.0,0.00,2.67,"adjusted","Prorated"
09/01/1994 08:55:00,09/01/1994,0.0,0.0,0.00,2.67,"adjusted","Prorated"
10/01/1994 09:05:00,10/01/1994,2.7,0.0,8.00,2.67,"adjusted","Prorated"
11/01/1994 08:45:00,11/01/1994,1.0,0.0,1.00,1.00,"good",""
12/01/1994 08:35:00,12/01/1994,3.5,0.0,3.50,3.50,"good",""
13/01/1994 08:28:00,13/01/1994,4.0,0.0,4.00,4.00,"good",""
14/01/1994 08:33:00,14/01/1994,3.5,0.0,3.50,3.50,"good",""
15/01/1994 08:55:00,15/01/1994,0.0,0.0,0.00,1.50,"adjusted","Prorated"
16/01/1994 08:55:00,16/01/1994,0.0,0.0,0.00,1.50,"adjusted","Prorated"
17/01/1994 08:55:00,17/01/1994,0.0,0.0,0.00,1.50,"adjusted","Prorated"
18/01/1994 08:58:00,18/01/1994,1.5,0.0,6.00,1.50,"adjusted","Prorated"
19/01/1994 08:45:00,19/01/1994,3.5,0.0,3.50,3.50,"good",""
20/01/1994 08:26:00,20/01/1994,3.0,3.0,3.00,3.00,"good",""
21/01/1994 08:32:00,21/01/1994,2.0,0.0,2.00,2.00,"good",""
22/01/1994 08:55:00,22/01/1994,0.0,0.0,0.00,4.00,"adjusted","Prorated"
23/01/1994 08:55:00,23/01/1994,0.0,0.0,0.00,4.00,"adjusted","Prorated"
24/01/1994 08:29:00,24/01/1994,4.0,0.0,12.00,4.00,"adjusted","Prorated"
25/01/1994 08:15:00,25/01/1994,3.5,0.0,3.50,3.50,"good",""
26/01/1994 08:38:00,26/01/1994,4.0,0.0,4.00,4.00,"good",""
27/01/1994 08:25:00,27/01/1994,4.0,0.0,4.00,4.00,"good",""
28/01/1994 08:55:00,28/01/1994,3.6,0.0,0.00,0.00,"good",""
29/01/1994 08:55:00,29/01/1994,0.0,0.0,0.00,4.83,"adjusted","Prorated"
30/01/1994 08:55:00,30/01/1994,0.0,0.0,0.00,4.83,"adjusted","Prorated"
31/01/1994 08:31:00,31/01/1994,3.6,0.0,14.50,4.83,"adjusted","Prorated"
01/02/1994 08:20:00,01/02/1994,4.5,0.0,4.50,4.50,"good",""
02/02/1994 08:46:00,02/02/1994,2.0,0.0,2.00,2.00,"good",""
03/02/1994 08:43:00,03/02/1994,2.5,0.0,2.50,2.50,"good",""
04/02/1994 08:38:00,04/02/1994,4.0,0.0,4.00,4.00,"good",""
05/02/1994 08:55:00,05/02/1994,0.0,0.0,0.00,2.83,"adjusted","Prorated"
06/02/1994 08:55:00,06/02/1994,0.0,0.0,0.00,2.83,"adjusted","Prorated"
07/02/1994 09:50:00,07/02/1994,2.8,0.0,8.50,2.83,"adjusted","Prorated"
08/02/1994 09:06:00,08/02/1994,4.0,0.0,4.00,4.00,"good",""
09/02/1994 08:50:00,09/02/1994,4.0,0.0,4.00,4.00,"good",""
10/02/1994 08:55:00,10/02/1994,4.5,0.0,4.50,4.50,"good",""
11/02/1994 10:10:00,11/02/1994,4.0,0.0,4.00,4.00,"good",""
12/02/1994 08:55:00,12/02/1994,0.0,0.0,0.00,4.50,"adjusted","Prorated"
13/02/1994 08:55:00,13/02/1994,0.0,0.0,0.00,4.50,"adjusted","Prorated"
14/02/1994 08:43:00,14/02/1994,4.5,0.0,13.50,4.50,"adjusted","Prorated"
15/02/1994 08:55:00,15/02/1994,4.5,0.0,4.50,4.50,"good",""
16/02/1994 08:55:00,16/02/1994,4.0,0.0,4.00,4.00,"good",""
17/02/1994 08:55:00,17/02/1994,3.0,0.0,3.00,3.00,"good",""
18/02/1994 09:59:00,18/02/1994,5.5,0.0,5.50,5.50,"good",""
19/02/1994 08:55:00,19/02/1994,0.0,0.0,0.00,3.38,"adjusted","Prorated"
20/02/1994 08:55:00,20/02/1994,0.0,0.0,0.00,3.38,"adjusted","Prorated"
21/02/1994 08:55:00,21/02/1994,0.0,0.0,0.00,3.38,"adjusted","Prorated"
22/02/1994 08:31:00,22/02/1994,3.4,0.0,13.50,3.38,"adjusted","Prorated"
23/02/1994 08:13:00,23/02/1994,5.0,0.0,5.00,5.00,"good",""
24/02/1994 08:29:00,24/02/1994,4.0,0.0,4.00,4.00,"good",""
25/02/1994 08:27:00,25/02/1994,4.5,0.0,4.50,4.50,"good",""
26/02/1994 08:55:00,26/02/1994,0.0,0.0,0.00,4.50,"adjusted","Prorated"
27/02/1994 08:55:00,27/02/1994,0.0,0.0,0.00,4.50,"adjusted","Prorated"
28/02/1994 08:49:00,28/02/1994,4.5,1.9,13.50,4.50,"adjusted","Prorated"
01/03/1994 08:18:00,01/03/1994,3.0,0.0,3.00,3.00,"good",""
02/03/1994 08:56:00,02/03/1994,4.0,0.0,4.00,4.00,"good",""
03/03/1994 08:29:00,03/03/1994,3.0,0.0,3.00,3.00,"good",""
