datetime,date,atmx,raw,chk_note,chk_fail
01/04/1971 12:00:00,01/04/1971,31.0000,31.0000,"nc",""
02/04/1971 12:00:00,02/04/1971,31.5000,31.5000,"nc",""
03/04/1971 12:00:00,03/04/1971,32.0000,32.0000,"nc",""
04/04/1971 12:00:00,04/04/1971,31.5000,31.5000,"nc",""
05/04/1971 12:00:00,05/04/1971,32.5000,32.5000,"nc",""
06/04/1971 12:00:00,06/04/1971,32.0000,32.0000,"nc",""
07/04/1971 12:00:00,07/04/1971,32.5000,32.5000,"nc",""
08/04/1971 12:00:00,08/04/1971,31.0000,31.0000,"nc",""
09/04/1971 12:00:00,09/04/1971,32.0000,32.0000,"nc",""
10/04/1971 12:00:00,10/04/1971,32.0000,32.0000,"nc",""
12/04/1971 12:00:00,12/04/1971,32.0000,32.0000,"nc",""
13/04/1971 12:00:00,13/04/1971,32.5000,32.5000,"nc",""
14/04/1971 12:00:00,14/04/1971,32.0000,32.0000,"nc",""
15/04/1971 12:00:00,15/04/1971,32.0000,32.0000,"nc",""
16/04/1971 12:00:00,16/04/1971,32.0000,32.0000,"nc",""
17/04/1971 12:00:00,17/04/1971,33.0000,33.0000,"nc",""
18/04/1971 12:00:00,18/04/1971,33.0000,33.0000,"nc",""
19/04/1971 12:00:00,19/04/1971,31.5000,31.5000,"nc",""
20/04/1971 12:00:00,20/04/1971,33.5000,33.5000,"nc",""
21/04/1971 12:00:00,21/04/1971,33.5000,33.5000,"nc",""
22/04/1971 12:00:00,22/04/1971,33.0000,33.0000,"nc",""
23/04/1971 12:00:00,23/04/1971,32.5000,32.5000,"nc",""
24/04/1971 12:00:00,24/04/1971,33.0000,33.0000,"nc",""
25/04/1971 12:00:00,25/04/1971,35.0000,35.0000,"nc",""
26/04/1971 12:00:00,26/04/1971,33.0000,33.0000,"nc",""
27/04/1971 12:00:00,27/04/1971,34.0000,34.0000,"nc",""
28/04/1971 12:00:00,28/04/1971,34.0000,34.0000,"nc",""
29/04/1971 12:00:00,29/04/1971,34.0000,34.0000,"nc",""
30/04/1971 12:00:00,30/04/1971,34.0000,34.0000,"nc",""
01/05/1971 12:00:00,01/05/1971,34.0000,34.0000,"nc",""
02/05/1971 12:00:00,02/05/1971,33.0000,33.0000,"nc",""
03/05/1971 12:00:00,03/05/1971,30.0000,30.0000,"nc",""
