datetime,date,at_dry,at_wet,rh,raw,chk_note,chk_fail
02/08/1971 12:00:00,02/08/1971,0.00,0.00,84.00,84.00,"nc",""
03/08/1971 12:00:00,03/08/1971,0.00,0.00,92.00,92.00,"nc",""
04/08/1971 00:00:00,04/08/1971,0.00,0.00,0.00,0.00,"missing",""
05/08/1971 12:00:00,05/08/1971,0.00,0.00,84.00,84.00,"nc",""
06/08/1971 12:00:00,06/08/1971,0.00,0.00,76.00,76.00,"nc",""
07/08/1971 00:00:00,07/08/1971,0.00,0.00,0.00,0.00,"missing",""
08/08/1971 00:00:00,08/08/1971,0.00,0.00,0.00,0.00,"missing",""
09/08/1971 12:00:00,09/08/1971,0.00,0.00,77.00,77.00,"nc",""
10/08/1971 12:00:00,10/08/1971,0.00,0.00,99.00,99.00,"nc",""
11/08/1971 12:00:00,11/08/1971,0.00,0.00,73.00,73.00,"nc",""
12/08/1971 12:00:00,12/08/1971,0.00,0.00,80.00,80.00,"nc",""
13/08/1971 12:00:00,13/08/1971,0.00,0.00,94.00,94.00,"nc",""
14/08/1971 00:00:00,14/08/1971,0.00,0.00,0.00,0.00,"missing",""
15/08/1971 00:00:00,15/08/1971,0.00,0.00,0.00,0.00,"missing",""
16/08/1971 12:00:00,16/08/1971,0.00,0.00,71.00,71.00,"nc",""
17/08/1971 12:00:00,17/08/1971,0.00,0.00,71.00,71.00,"nc",""
18/08/1971 12:00:00,18/08/1971,0.00,0.00,76.00,76.00,"nc",""
19/08/1971 12:00:00,19/08/1971,0.00,0.00,97.00,97.00,"nc",""
20/08/1971 00:00:00,20/08/1971,0.00,0.00,0.00,0.00,"missing",""
21/08/1971 00:00:00,21/08/1971,0.00,0.00,0.00,0.00,"missing",""
22/08/1971 00:00:00,22/08/1971,0.00,0.00,0.00,0.00,"missing",""
23/08/1971 12:00:00,23/08/1971,0.00,0.00,80.00,80.00,"nc",""
24/08/1971 12:00:00,24/08/1971,0.00,0.00,81.00,81.00,"nc",""
25/08/1971 12:00:00,25/08/1971,0.00,0.00,70.00,70.00,"nc",""
26/08/1971 12:00:00,26/08/1971,0.00,0.00,99.00,99.00,"nc",""
27/08/1971 00:00:00,27/08/1971,0.00,0.00,0.00,0.00,"missing",""
28/08/1971 00:00:00,28/08/1971,0.00,0.00,0.00,0.00,"missing",""
29/08/1971 00:00:00,29/08/1971,0.00,0.00,0.00,0.00,"missing",""
30/08/1971 12:00:00,30/08/1971,0.00,0.00,74.00,74.00,"nc",""
31/08/1971 12:00:00,31/08/1971,0.00,0.00,74.00,74.00,"nc",""
01/09/1971 12:00:00,01/09/1971,0.00,0.00,77.00,77.00,"nc",""
02/09/1971 12:00:00,02/09/1971,0.00,0.00,97.00,97.00,"nc",""
03/09/1971 00:00:00,03/09/1971,0.00,0.00,0.00,0.00,"missing",""
04/09/1971 00:00:00,04/09/1971,0.00,0.00,0.00,0.00,"missing",""
05/09/1971 00:00:00,05/09/1971,0.00,0.00,0.00,0.00,"missing",""
06/09/1971 00:00:00,06/09/1971,0.00,0.00,0.00,0.00,"missing",""
07/09/1971 12:00:00,07/09/1971,0.00,0.00,72.00,72.00,"nc",""
08/09/1971 12:00:00,08/09/1971,0.00,0.00,66.00,66.00,"nc",""
09/09/1971 12:00:00,09/09/1971,0.00,0.00,82.00,82.00,"nc",""
10/09/1971 12:00:00,10/09/1971,0.00,0.00,76.00,76.00,"nc",""
11/09/1971 00:00:00,11/09/1971,0.00,0.00,0.00,0.00,"missing",""
12/09/1971 00:00:00,12/09/1971,0.00,0.00,0.00,0.00,"missing",""
13/09/1971 12:00:00,13/09/1971,0.00,0.00,78.00,78.00,"nc",""
14/09/1971 12:00:00,14/09/1971,0.00,0.00,89.00,89.00,"nc",""
15/09/1971 12:00:00,15/09/1971,0.00,0.00,69.00,69.00,"nc",""
16/09/1971 12:00:00,16/09/1971,0.00,0.00,67.00,67.00,"nc",""
17/09/1971 12:00:00,17/09/1971,0.00,0.00,77.00,77.00,"nc",""
18/09/1971 00:00:00,18/09/1971,0.00,0.00,0.00,0.00,"missing",""
19/09/1971 00:00:00,19/09/1971,0.00,0.00,0.00,0.00,"missing",""
20/09/1971 12:00:00,20/09/1971,0.00,0.00,76.00,76.00,"nc",""
21/09/1971 12:00:00,21/09/1971,0.00,0.00,98.00,98.00,"nc",""
22/09/1971 12:00:00,22/09/1971,0.00,0.00,78.00,78.00,"nc",""
23/09/1971 12:00:00,23/09/1971,0.00,0.00,72.00,72.00,"nc",""
24/09/1971 12:00:00,24/09/1971,0.00,0.00,98.00,98.00,"nc",""
25/09/1971 12:00:00,25/09/1971,0.00,0.00,75.00,75.00,"nc",""
26/09/1971 00:00:00,26/09/1971,0.00,0.00,0.00,0.00,"missing",""
27/09/1971 00:00:00,27/09/1971,0.00,0.00,0.00,0.00,"missing",""
28/09/1971 00:00:00,28/09/1971,0.00,0.00,0.00,0.00,"missing",""
29/09/1971 12:00:00,29/09/1971,0.00,0.00,80.00,80.00,"nc",""
30/09/1971 12:00:00,30/09/1971,0.00,0.00,68.00,68.00,"nc",""
01/10/1971 12:00:00,01/10/1971,0.00,0.00,67.00,67.00,"nc",""
02/10/1971 12:00:00,02/10/1971,0.00,0.00,79.00,79.00,"nc",""
03/10/1971 00:00:00,03/10/1971,0.00,0.00,0.00,0.00,"missing",""
04/10/1971 12:00:00,04/10/1971,0.00,0.00,79.00,79.00,"nc",""
05/10/1971 00:00:00,05/10/1971,0.00,0.00,0.00,0.00,"missing",""
06/10/1971 12:00:00,06/10/1971,0.00,0.00,68.00,68.00,"nc",""
07/10/1971 12:00:00,07/10/1971,0.00,0.00,70.00,70.00,"nc",""
08/10/1971 12:00:00,08/10/1971,0.00,0.00,81.00,81.00,"nc",""
09/10/1971 12:00:00,09/10/1971,0.00,0.00,84.00,84.00,"nc",""
10/10/1971 00:00:00,10/10/1971,0.00,0.00,0.00,0.00,"missing",""
11/10/1971 00:00:00,11/10/1971,0.00,0.00,0.00,0.00,"missing",""
12/10/1971 12:00:00,12/10/1971,0.00,0.00,62.00,62.00,"nc",""
13/10/1971 12:00:00,13/10/1971,0.00,0.00,78.00,78.00,"nc",""
14/10/1971 12:00:00,14/10/1971,0.00,0.00,88.00,88.00,"nc",""
15/10/1971 00:00:00,15/10/1971,0.00,0.00,0.00,0.00,"missing",""
16/10/1971 00:00:00,16/10/1971,0.00,0.00,0.00,0.00,"missing",""
17/10/1971 00:00:00,17/10/1971,0.00,0.00,0.00,0.00,"missing",""
18/10/1971 12:00:00,18/10/1971,0.00,0.00,75.00,75.00,"nc",""
19/10/1971 12:00:00,19/10/1971,0.00,0.00,70.00,70.00,"nc",""
20/10/1971 12:00:00,20/10/1971,0.00,0.00,69.00,69.00,"nc",""
21/10/1971 12:00:00,21/10/1971,0.00,0.00,70.00,70.00,"nc",""
22/10/1971 12:00:00,22/10/1971,0.00,0.00,75.00,75.00,"nc",""
23/10/1971 00:00:00,23/10/1971,0.00,0.00,0.00,0.00,"missing",""
24/10/1971 00:00:00,24/10/1971,0.00,0.00,0.00,0.00,"missing",""
25/10/1971 00:00:00,25/10/1971,0.00,0.00,0.00,0.00,"missing",""
26/10/1971 12:00:00,26/10/1971,0.00,0.00,79.00,79.00,"nc",""
27/10/1971 12:00:00,27/10/1971,0.00,0.00,72.00,72.00,"nc",""
28/10/1971 12:00:00,28/10/1971,0.00,0.00,75.00,75.00,"nc",""
29/10/1971 12:00:00,29/10/1971,0.00,0.00,78.00,78.00,"nc",""
30/10/1971 00:00:00,30/10/1971,0.00,0.00,0.00,0.00,"missing",""
31/10/1971 00:00:00,31/10/1971,0.00,0.00,0.00,0.00,"missing",""
01/11/1971 12:00:00,01/11/1971,0.00,0.00,83.00,83.00,"nc",""
02/11/1971 12:00:00,02/11/1971,0.00,0.00,75.00,75.00,"nc",""
03/11/1971 00:00:00,03/11/1971,0.00,0.00,0.00,0.00,"missing",""
04/11/1971 12:00:00,04/11/1971,0.00,0.00,77.00,77.00,"nc",""
05/11/1971 12:00:00,05/11/1971,0.00,0.00,71.00,71.00,"nc",""
06/11/1971 00:00:00,06/11/1971,0.00,0.00,0.00,0.00,"missing",""
07/11/1971 00:00:00,07/11/1971,0.00,0.00,0.00,0.00,"missing",""
08/11/1971 12:00:00,08/11/1971,0.00,0.00,94.00,94.00,"nc",""
09/11/1971 12:00:00,09/11/1971,0.00,0.00,88.00,88.00,"nc",""
10/11/1971 12:00:00,10/11/1971,0.00,0.00,93.00,93.00,"nc",""
11/11/1971 12:00:00,11/11/1971,0.00,0.00,92.00,92.00,"nc",""
12/11/1971 12:00:00,12/11/1971,0.00,0.00,69.00,69.00,"nc",""
13/11/1971 00:00:00,13/11/1971,0.00,0.00,0.00,0.00,"missing",""
14/11/1971 00:00:00,14/11/1971,0.00,0.00,0.00,0.00,"missing",""
15/11/1971 12:00:00,15/11/1971,0.00,0.00,77.00,77.00,"nc",""
16/11/1971 12:00:00,16/11/1971,0.00,0.00,87.00,87.00,"nc",""
17/11/1971 12:00:00,17/11/1971,0.00,0.00,98.00,98.00,"nc",""
18/11/1971 12:00:00,18/11/1971,0.00,0.00,79.00,79.00,"nc",""
19/11/1971 12:00:00,19/11/1971,0.00,0.00,71.00,71.00,"nc",""
20/11/1971 00:00:00,20/11/1971,0.00,0.00,0.00,0.00,"missing",""
21/11/1971 00:00:00,21/11/1971,0.00,0.00,0.00,0.00,"missing",""
22/11/1971 12:00:00,22/11/1971,0.00,0.00,72.00,72.00,"nc",""
23/11/1971 12:00:00,23/11/1971,0.00,0.00,75.00,75.00,"nc",""
24/11/1971 12:00:00,24/11/1971,0.00,0.00,73.00,73.00,"nc",""
25/11/1971 00:00:00,25/11/1971,0.00,0.00,0.00,0.00,"missing",""
26/11/1971 12:00:00,26/11/1971,0.00,0.00,92.00,92.00,"nc",""
27/11/1971 00:00:00,27/11/1971,0.00,0.00,0.00,0.00,"missing",""
28/11/1971 00:00:00,28/11/1971,0.00,0.00,0.00,0.00,"missing",""
29/11/1971 12:00:00,29/11/1971,0.00,0.00,85.00,85.00,"nc",""
30/11/1971 12:00:00,30/11/1971,0.00,0.00,66.00,66.00,"nc",""
01/12/1971 12:00:00,01/12/1971,0.00,0.00,87.00,87.00,"nc",""
02/12/1971 12:00:00,02/12/1971,0.00,0.00,73.00,73.00,"nc",""
03/12/1971 12:00:00,03/12/1971,0.00,0.00,75.00,75.00,"nc",""
04/12/1971 00:00:00,04/12/1971,0.00,0.00,0.00,0.00,"missing",""
05/12/1971 00:00:00,05/12/1971,0.00,0.00,0.00,0.00,"missing",""
06/12/1971 12:00:00,06/12/1971,0.00,0.00,72.00,72.00,"nc",""
07/12/1971 12:00:00,07/12/1971,0.00,0.00,70.00,70.00,"nc",""
08/12/1971 12:00:00,08/12/1971,0.00,0.00,74.00,74.00,"nc",""
09/12/1971 12:00:00,09/12/1971,0.00,0.00,85.00,85.00,"nc",""
10/12/1971 12:00:00,10/12/1971,0.00,0.00,65.00,65.00,"nc",""
11/12/1971 00:00:00,11/12/1971,0.00,0.00,0.00,0.00,"missing",""
12/12/1971 00:00:00,12/12/1971,0.00,0.00,0.00,0.00,"missing",""
13/12/1971 12:00:00,13/12/1971,0.00,0.00,64.00,64.00,"nc",""
14/12/1971 12:00:00,14/12/1971,0.00,0.00,71.00,71.00,"nc",""
15/12/1971 00:00:00,15/12/1971,0.00,0.00,0.00,0.00,"missing",""
16/12/1971 12:00:00,16/12/1971,0.00,0.00,78.00,78.00,"nc",""
17/12/1971 12:00:00,17/12/1971,0.00,0.00,70.00,70.00,"nc",""
18/12/1971 00:00:00,18/12/1971,0.00,0.00,0.00,0.00,"missing",""
19/12/1971 00:00:00,19/12/1971,0.00,0.00,0.00,0.00,"missing",""
20/12/1971 12:00:00,20/12/1971,0.00,0.00,61.00,61.00,"nc",""
21/12/1971 12:00:00,21/12/1971,0.00,0.00,63.00,63.00,"nc",""
22/12/1971 12:00:00,22/12/1971,0.00,0.00,67.00,67.00,"nc",""
23/12/1971 12:00:00,23/12/1971,0.00,0.00,62.00,62.00,"nc",""
24/12/1971 00:00:00,24/12/1971,0.00,0.00,0.00,0.00,"missing",""
25/12/1971 00:00:00,25/12/1971,0.00,0.00,0.00,0.00,"missing",""
26/12/1971 00:00:00,26/12/1971,0.00,0.00,0.00,0.00,"missing",""
27/12/1971 12:00:00,27/12/1971,0.00,0.00,66.00,66.00,"nc",""
28/12/1971 12:00:00,28/12/1971,0.00,0.00,66.00,66.00,"nc",""
29/12/1971 12:00:00,29/12/1971,0.00,0.00,77.00,77.00,"nc",""
30/12/1971 12:00:00,30/12/1971,0.00,0.00,77.00,77.00,"nc",""
31/12/1971 00:00:00,31/12/1971,0.00,0.00,0.00,0.00,"missing",""
01/01/1972 00:00:00,01/01/1972,0.00,0.00,0.00,0.00,"missing",""
02/01/1972 00:00:00,02/01/1972,0.00,0.00,0.00,0.00,"missing",""
03/01/1972 12:00:00,03/01/1972,0.00,0.00,82.00,82.00,"nc",""
04/01/1972 12:00:00,04/01/1972,0.00,0.00,78.00,78.00,"nc",""
05/01/1972 12:00:00,05/01/1972,0.00,0.00,91.00,91.00,"nc",""
06/01/1972 12:00:00,06/01/1972,0.00,0.00,93.00,93.00,"nc",""
07/01/1972 12:00:00,07/01/1972,0.00,0.00,98.00,98.00,"nc",""
08/01/1972 00:00:00,08/01/1972,0.00,0.00,0.00,0.00,"missing",""
09/01/1972 00:00:00,09/01/1972,0.00,0.00,0.00,0.00,"missing",""
10/01/1972 12:00:00,10/01/1972,0.00,0.00,77.00,77.00,"nc",""
11/01/1972 12:00:00,11/01/1972,0.00,0.00,88.00,88.00,"nc",""
12/01/1972 12:00:00,12/01/1972,0.00,0.00,82.00,82.00,"nc",""
13/01/1972 12:00:00,13/01/1972,0.00,0.00,75.00,75.00,"nc",""
14/01/1972 12:00:00,14/01/1972,0.00,0.00,96.00,96.00,"nc",""
15/01/1972 00:00:00,15/01/1972,0.00,0.00,0.00,0.00,"missing",""
16/01/1972 00:00:00,16/01/1972,0.00,0.00,0.00,0.00,"missing",""
17/01/1972 00:00:00,17/01/1972,0.00,0.00,0.00,0.00,"missing",""
18/01/1972 12:00:00,18/01/1972,0.00,0.00,89.00,89.00,"nc",""
19/01/1972 12:00:00,19/01/1972,0.00,0.00,72.00,72.00,"nc",""
20/01/1972 12:00:00,20/01/1972,0.00,0.00,80.00,80.00,"nc",""
21/01/1972 12:00:00,21/01/1972,0.00,0.00,72.00,72.00,"nc",""
22/01/1972 00:00:00,22/01/1972,0.00,0.00,0.00,0.00,"missing",""
23/01/1972 00:00:00,23/01/1972,0.00,0.00,0.00,0.00,"missing",""
24/01/1972 12:00:00,24/01/1972,0.00,0.00,63.00,63.00,"nc",""
25/01/1972 12:00:00,25/01/1972,0.00,0.00,69.00,69.00,"nc",""
26/01/1972 12:00:00,26/01/1972,0.00,0.00,65.00,65.00,"nc",""
